subject,total_events,ret_5min_mean,ret_5min_median,ret_5min_n,ret_5min_ci_lower,ret_5min_ci_upper,ret_5min_t_stat,ret_5min_p_value,ret_30min_mean,ret_30min_median,ret_30min_n,ret_30min_ci_lower,ret_30min_ci_upper,ret_30min_t_stat,ret_30min_p_value,ret_60min_mean,ret_60min_median,ret_60min_n,ret_60min_ci_lower,ret_60min_ci_upper,ret_60min_t_stat,ret_60min_p_value,ret_session_close_mean,ret_session_close_median,ret_session_close_n,ret_session_close_ci_lower,ret_session_close_ci_upper,ret_session_close_t_stat,ret_session_close_p_value,ret_1d_mean,ret_1d_median,ret_1d_n,ret_1d_ci_lower,ret_1d_ci_upper,ret_1d_t_stat,ret_1d_p_value,ret_5d_mean,ret_5d_median,ret_5d_n,ret_5d_ci_lower,ret_5d_ci_upper,ret_5d_t_stat,ret_5d_p_value,ret_10d_mean,ret_10d_median,ret_10d_n,ret_10d_ci_lower,ret_10d_ci_upper,ret_10d_t_stat,ret_10d_p_value,ret_20d_mean,ret_20d_median,ret_20d_n,ret_20d_ci_lower,ret_20d_ci_upper,ret_20d_t_stat,ret_20d_p_value,vol_ratio_5min_mean,vol_ratio_5min_median,vol_ratio_5min_n,vol_ratio_5min_ci_lower,vol_ratio_5min_ci_upper,vol_ratio_5min_t_stat,vol_ratio_5min_p_value,vol_ratio_30min_mean,vol_ratio_30min_median,vol_ratio_30min_n,vol_ratio_30min_ci_lower,vol_ratio_30min_ci_upper,vol_ratio_30min_t_stat,vol_ratio_30min_p_value,vol_ratio_60min_mean,vol_ratio_60min_median,vol_ratio_60min_n,vol_ratio_60min_ci_lower,vol_ratio_60min_ci_upper,vol_ratio_60min_t_stat,vol_ratio_60min_p_value,range_5min_mean,range_5min_median,range_5min_n,range_5min_ci_lower,range_5min_ci_upper,range_5min_t_stat,range_5min_p_value,range_60min_mean,range_60min_median,range_60min_n,range_60min_ci_lower,range_60min_ci_upper,range_60min_t_stat,range_60min_p_value
General / Other,717,0.0016973429556921117,0.000900495272399854,717.0,0.0008783908623574,0.0025162950490268234,4.062254947795651,5.397109592470414e-05,0.0011159970989022294,0.0008445945945946266,717.0,0.0001256688443152141,0.002106325353489245,2.2087164571110165,0.027510372133350603,0.00110212110665424,0.0009013745962593296,717.0,-2.4575121261827173e-05,0.0022288173345703073,1.9172491355879735,0.0556039225879789,0.0004449042486592114,0.0,717.0,-0.0010692300496243693,0.001959038546942792,0.5759147840192019,0.5648537497098622,0.001834028064755557,0.00039247015991196086,716.0,0.0001293570668101146,0.003538699062700999,2.1087324247631383,0.03531489750428057,0.003916631535145024,0.0020419129500268427,713.0,-7.67812549145536e-05,0.0079100443252046,1.9223151255469684,0.05496482039708909,0.007560646508331797,0.0015068122209215807,710.0,0.0021129809460257954,0.013008312070637799,2.720223366659366,0.006683623809649164,0.013372477908908432,-0.003501750875437719,699.0,0.0059979504108431895,0.020747005406973676,3.5541336998657758,0.0004047850338498283,2.8540844969570385,1.750998756401088,717.0,2.4441833088839395,3.2639856850301374,13.647205172379728,7.364512462699199e-38,1.435401423169862,1.0015660778308721,717.0,1.2703197667990072,1.6004830795407168,17.0423949653902,6.353553227894661e-55,1.1377893076879957,0.7646003645426778,717.0,1.0196021763296188,1.2559764390463726,18.86894975313579,9.040767977060994e-65,0.00971843076723909,0.006873598147746184,717.0,0.009073015504561488,0.010363846029916692,29.51297467736447,7.159790912590695e-126,0.016787184392760383,0.012160493827160382,717.0,0.01571998440435729,0.017854384381163477,30.831036138825915,1.751588532519785e-133
Routine Filings,606,0.0005479250755100878,9.528952132888452e-05,606.0,-9.213770596484415e-05,0.0011879878569850196,1.6778559527005288,0.09389168601607052,0.0003926785932775978,-1.6920473773250263e-05,606.0,-0.000397107631062742,0.0011824648176179376,0.9745042634377846,0.3301956940620398,0.0004652545364898061,-5.2375273480406e-05,606.0,-0.00041841749522065374,0.001348926568200266,1.0319426877808087,0.30251130731113696,-1.6261258846243253e-05,-0.00025494662880143663,606.0,-0.0011366890974044538,0.0011041665797119672,-0.02844633651699552,0.9773155486720122,0.0005853101089503361,0.00012959366323359094,606.0,-0.0007209411083625391,0.0018915613262632113,0.8782443976608199,0.3801597483552012,0.0021283784110813168,0.0017088174982911825,605.0,-0.0010882806210104749,0.005345037443173108,1.2968802860670556,0.19516757576788316,0.004619214266033006,0.0024002860541010814,604.0,0.00056748019436746,0.008670948337698553,2.234514852477227,0.025814825717304774,0.005749188442993361,0.002827790437169207,592.0,0.0003885936961600346,0.011109783189826687,2.102081929420909,0.035968639126589354,2.1542677198340168,1.429991661331573,606.0,1.8556826830723958,2.4528527565956377,14.141246918028415,1.9633474634578544e-39,1.110034166432275,0.8603438591501437,606.0,1.006404159756912,1.213664173107638,20.994565531804625,6.292898275631232e-74,0.9210486528717555,0.6807408695023592,606.0,0.84355285510295,0.9985444506405611,23.29488064648728,3.640865315669461e-86,0.006991516663169311,0.00554196473416973,606.0,0.006475011644522464,0.0075080216818161575,26.530957425568275,1.8306118744182362e-103,0.012150748076475182,0.009374019271502741,606.0,0.01128369068698871,0.013017805465961653,27.467001052832778,1.8973128954864717e-108
Analyst / Investor Meet,241,-0.00021128310857781052,-6.378364587314011e-05,241.0,-0.0018024863197308796,0.0013799201025752584,-0.26025267540304875,0.7948920155228221,-0.0003121581030150579,-0.0001307474395293142,241.0,-0.0022792743925801316,0.0016549581865500159,-0.3110288319786056,0.7560486767039464,7.046815243443816e-05,0.00013182177695758335,241.0,-0.0020436479577477,0.0021845842626165763,0.06533112259364009,0.9479647485988822,0.0006724396711048476,-0.00024248302618808413,241.0,-0.0019756534094392247,0.0033205327516489204,0.4977097538787085,0.6191443430710956,-0.0008646668504894159,-0.0015800724974440162,241.0,-0.0035257637649595214,0.0017964300639806896,-0.6368603179177049,0.5248228166585723,0.0024059994397123783,0.0012953367875647216,237.0,-0.0037333524906065915,0.008545351370031349,0.7681199832424745,0.4431838016244405,0.010548021402268265,-0.0002997263473936288,234.0,0.0003808687076919913,0.02071517409684454,2.0334229817827487,0.043143347501791766,0.01468965462617074,-0.00048598736432857654,231.0,0.002742950831349766,0.026636358420991713,2.4100139722034606,0.016738258871789556,3.657606629582155,1.885569720669168,241.0,2.7635727638665415,4.551640495297769,8.018610109632474,4.697980461647015e-14,1.519109505401985,0.9055973529933655,241.0,1.2278671491790374,1.8103518616249326,10.2232884982864,1.3385830720810755e-20,1.1837858805722725,0.7308267044285582,241.0,0.9817882053111486,1.3857835558333964,11.486371429385454,1.265577843505778e-24,0.009805857071789685,0.007378129117259582,241.0,0.00867122066380621,0.01094049347977316,16.938888727240357,7.19916079957848e-43,0.015250360275429673,0.011249259917110717,241.0,0.013548906718113108,0.01695181383274624,17.567747301303992,5.586327488453402e-45
Financial Results,126,0.0018549612178271567,0.0010784221580686416,126.0,-0.00019074057588745297,0.003900663011541766,1.7772502317356023,0.07795909847698189,0.0019219691912979496,0.001506744705085281,126.0,-0.0006841564475975458,0.004528094830193445,1.4454635489256389,0.15083015837547528,0.0026833972370892984,0.0013972448992600446,126.0,-0.0002442916154037286,0.0056110860895823254,1.7964540802265978,0.07483742597155621,0.0015584341266176042,-0.000869066767436692,126.0,-0.0023349335191288163,0.005451801772364025,0.7845472521732278,0.43420336231049267,-0.0003311343653136941,-0.0013315995891867174,126.0,-0.004836708323956109,0.00417443959332872,-0.14404898509543038,0.8856937675092942,0.003093191987503351,0.0032458363216192115,126.0,-0.006103712486359725,0.012290096461366428,0.6592061832039454,0.5109759614231292,0.0011320559232130194,-0.006396052557619888,124.0,-0.01114398791885916,0.0134080997652852,0.1807446794783508,0.8568654626847892,0.006725332616887014,-0.008069029357477416,120.0,-0.01060877177336822,0.024059437007142248,0.7604460912620854,0.4484920685958365,4.228766511713624,1.9386691110708982,126.0,3.1063145781874355,5.351218445239812,7.384175763251357,1.895691079732181e-11,2.2757238278105945,1.2108097465117806,126.0,1.630635418676488,2.920812236944701,6.914430083305829,2.1480283411799506e-10,1.6954620240760647,0.9560455687757763,126.0,1.2329180572484262,2.1580059909037033,7.184410143711598,5.362302831100218e-11,0.011684032008785155,0.008740680615680667,126.0,0.00999107144470685,0.01337699257286346,13.527014877447355,3.0731015309041447e-26,0.019655472369343684,0.016037502789120788,126.0,0.01734059443193172,0.021970350306755648,16.64222774829515,1.687189807632761e-33
Change in Management,123,0.0011339448818071245,0.0011825922421948912,123.0,-0.0008081881335399606,0.0030760778971542094,1.1443768015780154,0.2547076565283723,0.0008070034213899545,0.00035697287006185123,123.0,-0.0012990473436959883,0.002913054186475897,0.7510392114692278,0.4540752862305343,0.0007785410132889824,0.0004536993950674309,123.0,-0.0017746975193579208,0.003331779545935886,0.5976489726811722,0.551181910713461,0.0030154331334161346,0.0005617977528089568,123.0,-0.0008509218136058417,0.006881788080438111,1.5286358915515341,0.12894338798091481,-0.0011422741646521335,-0.00047994880546075084,123.0,-0.005120958749101217,0.00283641041979695,-0.5627129558017451,0.5746629528570524,0.002777361429837574,0.009091414730049631,122.0,-0.006394495823363417,0.011949218683038566,0.5935142962001301,0.5539448703734581,0.00484407216839468,-0.0008921538596046315,122.0,-0.006261046806996415,0.015949191143785776,0.8549554012967433,0.39426549792589166,0.005705441278936462,-0.011176157530601383,119.0,-0.012957926576456405,0.02436880913432933,0.5991772221048615,0.55020335885898,2.5187684021980767,1.8095138525875587,123.0,2.1156410118729627,2.9218957925231908,12.246218408346838,5.578348106579859e-23,1.2870677049752834,1.1011887337202027,123.0,1.1119653524971191,1.4621700574534477,14.406732211471201,4.272341116263804e-28,1.085917282156155,0.8529207491720191,123.0,0.9338695008890885,1.2379650634232213,13.998217239932035,3.844824341837628e-27,0.008868786781823835,0.006975036710719506,123.0,0.00767490708007043,0.010062666483577239,14.559944412192653,1.8820735550218024e-28,0.015927460708036432,0.012577747062888767,123.0,0.013994609941651357,0.017860311474421506,16.151181214127945,4.385588230016325e-32
Acquisition / Order,116,0.003287390418513029,0.0019102694604398816,116.0,0.0003755210922285622,0.006199259744797497,2.2127659239802298,0.028888670642344377,0.0017121016535854758,0.0016182728653511298,116.0,-0.0016877139012257997,0.005111917208396752,0.9870297923305458,0.32570018095521536,0.00029564235485769747,0.0005256293182718955,116.0,-0.003590582586038893,0.004181867295754288,0.14910588664674673,0.8817312455175693,0.0015995015026023637,-0.0009143876780794314,116.0,-0.002992920618472797,0.006191923623677525,0.6826513030484823,0.4962000447879631,0.004790115107534934,0.003278469623672139,116.0,-0.0006874169316851064,0.010267647146754974,1.7140247731175924,0.08921824822865615,0.007542392564108228,0.0065592160799509075,116.0,-0.0036171640374890656,0.01870194916570552,1.324702221908726,0.18789631769678275,0.02329197320439607,-0.0004056137036024495,116.0,0.0028205448753169104,0.04376340153347523,2.2300479842810175,0.02768558755457283,0.04779115855190767,0.021141735399813226,114.0,0.02131062110348556,0.07427169600032979,3.5373402425909046,0.0005874608012993698,4.120009339619541,2.260659429626565,116.0,2.5979574046791014,5.64206127455998,5.305481449271504,5.523572840371248e-07,1.9203390397737083,1.2045247981421692,116.0,1.2733732653326462,2.5673048142147703,5.817718133866062,5.472783930346566e-08,1.3787783705504126,0.8769459880249693,116.0,0.9354192538478081,1.8221374872530172,6.0952972533358825,1.4963066340472183e-08,0.013042367053130024,0.009104080797513295,116.0,0.010758106623754937,0.015326627482505111,11.19094788641425,4.093117487032135e-20,0.022826464473225266,0.015975506491297482,116.0,0.018320069680011552,0.02733285926643898,9.928084959377363,3.7691746047608763e-17
AGM / EGM,102,0.0011621769873248653,0.0001045948679966292,102.0,-0.0003993451901812355,0.002723699164830966,1.4587477065453567,0.14773749578280682,0.0014237917904716985,0.0003134301389159349,102.0,-0.0009848010940818276,0.0038323846750252244,1.158615026732432,0.2493452976660116,0.0017645874045393868,0.00024657794562373437,102.0,-0.0010796350681968692,0.004608809877275643,1.2160059018062304,0.2268170974899204,-0.0009485900103830599,-0.0023587436247755594,102.0,-0.0043466270350135715,0.0024494470142474517,-0.5471501360562612,0.585482542040096,0.000341910575135906,-0.0007906724916918872,102.0,-0.002282324108419317,0.0029661452586911287,0.2553676816581384,0.798958442799158,0.0013136462021036974,-0.003361841029576579,102.0,-0.008046553875146824,0.010673846279354218,0.2750738803523051,0.7838214040550039,0.00461391617452215,-0.0030712550021848293,102.0,-0.007246396248591957,0.016474228597636257,0.7624820813690643,0.447549403068559,-0.005380331847698106,-0.008698777857656296,97.0,-0.020460097628587928,0.009699433933191715,-0.6993112873710712,0.48604845969473626,2.338219646098467,1.3932662055088416,102.0,1.633318751256512,3.0431205409404223,6.501496224345867,3.066774871607296e-09,1.1187274251189496,0.8112065299120708,102.0,0.878327916447682,1.3591269337902172,9.121090826485588,7.728564050844425e-15,0.946709974161021,0.6212796075386976,102.0,0.7401418495647929,1.153278098757249,8.982758365951122,1.555427023574588e-14,0.007420964321157207,0.0064679360478377135,102.0,0.0063642173895103495,0.008477711252804065,13.764023943557374,6.645415565479602e-25,0.013533303739387006,0.011244834679143187,102.0,0.011206354626362347,0.015860252852411664,11.399164330980986,7.617187115791625e-20
Press Release / Clarification,86,0.0016753849601537183,0.001156133141519022,86.0,-0.0012813102167731274,0.004632080137080564,1.110616524668053,0.2698653240300029,0.0011881641398653173,0.0009585692119169803,86.0,-0.002237567626737119,0.004613895906467754,0.6797968646697854,0.4984803207686336,0.0014013511317433726,0.001682374852374912,86.0,-0.0025159908609858487,0.005318693124472594,0.7011509904713258,0.4851239287516965,0.0021854709156639784,0.0011381206056838176,86.0,-0.0022801326942981045,0.006651074525626062,0.9592259790245398,0.34016550823338104,-0.0002201239036018181,-0.0029701179698149644,86.0,-0.005744839803003074,0.005304591995799437,-0.07809321943709745,0.9379374445805028,0.0047543542509649464,0.0022901791728412307,85.0,-0.006066653775197409,0.015575362277127303,0.8611521504615398,0.39160574973607887,0.012554934445229987,-0.0030272452068618705,85.0,-0.0026179449550698675,0.02772781384552984,1.6218194888021364,0.108589735435123,0.023481809678473412,0.0020061376253656393,84.0,0.004058362894548126,0.0429052564623987,2.369525217733102,0.020131608877780188,3.29306747358173,1.954897719813479,86.0,2.275762608785209,4.310372338378251,6.344619466172697,1.0389540729447036e-08,1.5994973844194917,1.047562022438039,86.0,1.188042157370564,2.0109526114684195,7.619334176278204,3.283047100393556e-11,1.204499683990136,0.7965057405718647,86.0,0.8945211321330486,1.5144782358472235,7.616073326612284,3.332674482424313e-11,0.011181446738437602,0.007247178046343186,86.0,0.008657179954173312,0.013705713522701892,8.681980741479004,2.378118552294607e-13,0.018034072891077235,0.014224894884796408,86.0,0.014473870201755137,0.021594275580399332,9.928306321582436,7.167695437716534e-16
Earnings Call / Investor Presentation,75,0.004094222864295148,0.0015756302521007508,75.0,0.0009573184067028276,0.0072311273218874685,2.5581514905869014,0.012568520888075942,0.0040851407010322706,0.00078781512605045,75.0,0.0004921778472683951,0.007678103554796146,2.2284883256267176,0.028885433544625912,0.004320972073140785,0.0031021897810219806,75.0,8.466373059388705e-05,0.008557280415687683,1.9991711128053191,0.049262212729411683,0.0038271709585699656,0.0013770311209033324,75.0,-0.00098151403580778,0.008635855952947712,1.559938962017164,0.12304106957017284,0.0028106493343876067,-0.0018475750577367906,75.0,-0.003092992908082764,0.008714291576857977,0.9331311873489354,0.35378698892088317,0.013596939881689871,0.0032603924322901013,74.0,-0.0021676670547567025,0.029361546818136443,1.6904958224171998,0.09519916491329268,0.01849513871916826,0.002179985012602914,73.0,0.00020772113356908734,0.036782556304767434,1.982263035220239,0.0512668210693611,0.02439102806756482,0.0063634556886345405,72.0,0.007958987867684023,0.04082306826744562,2.909341410494714,0.004832786178486521,3.9202645388743007,1.7659678581702467,75.0,1.8595945466475792,5.980934531101022,3.728747701076942,0.00037428122978330086,3.115408988634523,1.112028487670444,75.0,0.695404171599209,5.535413805669837,2.523218786483333,0.013775627987390154,2.1571787903379165,0.8517724767181529,75.0,0.7672876148322509,3.547069965843582,3.0420154495362373,0.0032505039986826835,0.013731774790069604,0.010781278455654674,75.0,0.010922198649457343,0.016541350930681865,9.579480050208312,1.348862103903649e-14,0.022385522466815206,0.018449670043684353,75.0,0.01844903842843672,0.02632200650519369,11.145891513135929,1.6991049183626358e-17
Insider Trading / SAST,54,0.0017564208738173697,0.0001249712048880744,54.0,-0.0003858914440446903,0.00389873319167943,1.6069481951714695,0.1140077870105343,0.002549683968680962,0.0013412337469669235,54.0,-3.7187023478528307e-06,0.005103086639709776,1.9571455122670272,0.05560637899401112,0.0027778219117332724,0.0007258494709373977,54.0,-0.0005166784324991342,0.006072322255965679,1.6526120437439955,0.10432252234159245,0.00372052122298366,-5.368484198815606e-05,54.0,-0.00019718983310681526,0.007638232279074135,1.8613474788324382,0.06824500691701342,0.0012351256224796192,-0.0006439130398304399,54.0,-0.00542593324822588,0.007896184493185118,0.363432641423818,0.7177273719524837,0.005729545315567941,0.012491768375434021,54.0,-0.004684623496813657,0.016143714127949536,1.0783298236112435,0.2857699941898585,0.01956453416199311,0.0013578523269430587,54.0,-0.00452000538552556,0.04364907370951178,1.5921619295170282,0.11729573344740821,0.029748950320960924,-0.006626577167657209,54.0,-0.006649485181039989,0.06614738582296184,1.6019354080720878,0.11511399316144928,1.656545201525223,0.9063496630434054,54.0,1.2229445416058484,2.090145861444598,7.488061931439781,7.397200357047098e-10,1.037209861259865,0.8006706747531689,54.0,0.8219880659883012,1.2524316565314288,9.445750257329705,5.944302443933071e-13,0.9103975260167834,0.7282770627271269,54.0,0.7231488817111216,1.0976461703224452,9.529463658386236,4.414988846311379e-13,0.007749089586959963,0.005681336480291406,54.0,0.00603235687316519,0.009465822300754736,8.847163841171612,5.088170851956938e-12,0.014256778538613039,0.011711494631453472,54.0,0.011915649811370919,0.01659790726585516,11.935817800415917,1.2122688171377637e-16
